"","year","name","firstname","lastname","position","heightfeet","heightinches","heightinchestotal","weight","arms","hands","fortyyd","twentyyd","tenyd","twentyss","threecone","vertical","broad","bench","round","college","pick","pickround","picktotal","wonderlic","nflgrade"
"2",2015,"Nelson Agholor","Nelson","Agholor","WR","6","0.0000",72,198,0,0,4.42,0,0,0,0,0,0,12,0,"USC","","0",0,0,5.6
"5",2015,"Mario Alford","Mario","Alford","WR","5","8.0000",68,180,0,0,4.43,0,0,4.07,6.64,34,121,13,0,"West Virginia","","0",0,0,5.3
"8",2015,"Dres Anderson","Dres","Anderson","WR","6","1.0000",73,187,0,0,0,0,0,0,0,0,0,13,0,"Utah","","0",0,0,5.5
"19",2015,"Kenny Bell","Kenny","Bell","WR","6","1.0000",73,197,0,0,4.42,0,0,4.15,6.66,41.5,129,7,0,"Nebraska","","0",0,0,5.4
"31",2015,"Da'Ron Brown","Da'Ron","Brown","WR","6","0.0000",72,205,0,0,4.54,0,0,4.11,7.04,37,120,17,0,"Northern Illinois","","0",0,0,4.9
"49",2015,"Kaelin Clay","Kaelin","Clay","WR","5","10.0000",70,195,0,0,4.51,0,0,4.26,6.97,33,113,10,0,"Utah","","0",0,0,5.1
"52",2015,"Sammie Coates","Sammie","Coates","WR","6","1.0000",73,212,0,0,4.43,0,0,4.06,6.98,41,131,23,0,"Auburn","","0",0,0,5.6
"60",2015,"Chris Conley","Chris","Conley","WR","6","2.0000",74,213,0,0,4.35,0,0,4.3,7.06,45,139,18,0,"Georgia","","0",0,0,5.5
"61",2015,"Amari Cooper","Amari","Cooper","WR","6","1.0000",73,211,0,0,4.42,0,0,3.98,6.71,33,120,0,0,"Alabama","","0",0,0,7
"68",2015,"Jamison Crowder","Jamison","Crowder","WR","5","8.0000",68,185,0,0,4.56,0,0,4.32,7.17,37,115,10,0,"Duke","","0",0,0,5.4
"70",2015,"Davaris Daniels","Davaris","Daniels","WR","6","1.0000",73,201,0,0,4.62,0,0,0,0,37,122,13,0,"Notre Dame","","0",0,0,5.2
"74",2015,"Devante Davis","Devante","Davis","WR","6","3.0000",75,220,0,0,4.57,0,0,4.12,7.25,35.5,115,16,0,"UNLV","","0",0,0,5.2
"75",2015,"Geremy Davis","Geremy","Davis","WR","6","2.0000",74,216,0,0,0,0,0,4.18,6.86,36.5,124,23,0,"Connecticut","","0",0,0,4.8
"77",2015,"Titus Davis","Titus","Davis","WR","6","1.0000",73,196,0,0,4.51,0,0,4.28,7.14,32.5,119,0,0,"Central Michigan","","0",0,0,5.4
